name,state,published,closing
"SMD_Services_Surveying, Testing, Repair & Alterations of Fire Alarm Systems, BX","
								New York","
								08/13/2021","
								09/09/2021"
McCully Public Library - Miscellaneous Repairs,"
								Hawaii","
								08/13/2021","
								09/08/2021"
Annual Contract Purchase of Ready Mix Concrete,"
								Georgia","
								08/13/2021","
								08/26/2021"
"Village of Alden Sanitary Sewer Rehabilitation-Year 2021, Contract No. 7","
								New York","
								08/13/2021","
								09/09/2021"
Roof Replacement at Schanen Estates Elementary School,"
								Texas","
								08/13/2021","
								09/02/2021"
Security Guard Services,"
								California","
								08/13/2021","
								09/02/2021"
,,,
"Street Resurfacing - Victoria Ave., Telephone to Ralston Street (SB1)","
								California","
								08/13/2021","
								08/26/2021"
"Design-build construction services for a 100,000 square foot expandable industrial building on a new industrial development site","
								Georgia","
								08/13/2021","
								09/21/2021"
WATER MAIN CLEANING AND LINING FISCAL YEAR 2022-2026,"
								Georgia","
								08/13/2021","
								08/26/2021"
Francis Street Trail,"
								Virginia","
								08/13/2021","
								09/09/2021"
"Food services for breakfast, lunch and dinner","
								New Jersey","
								08/13/2021","
								09/09/2021"
"Safety improvements, bridge rail, pedestrian bridge, guardrail, electrical, and fencing on the SF 169 Kootenai Creek RoadSafety project in Ravalli County. This project is located on US 93, at the Intersection","
								Montana","
								08/13/2021","
								09/09/2021"
Riverbank erosion repair to include construction of a bioengineered bank using riprap and geotextile on US-89 Erosion RPR-Two Medicine This project is located in Glacier County on Highway 89 (MDT Route,"
								Montana","
								08/13/2021","
								09/09/2021"
Bus Stop Schedule Holders,"
								Arizona","
								08/13/2021","
								09/09/2021"
'21-'22 Surface Mine Safety Training Manual,"
								Ohio","
								08/13/2021","
								08/18/2021"
Marketing Services for Brevard County Space Coast Area Transit,"
								Florida","
								08/13/2021","
								09/02/2021"
Transportation Services,"
								Oklahoma","
								08/13/2021","
								09/09/2021"
Front Loader Garbage Truck,"
								Mississippi","
								08/13/2021","
								09/09/2021"
Pims Application Support Help Desk,"
								Pennsylvania","
								08/13/2021","
								09/09/2021"
A&E Services (pool),"
								Ohio","
								08/13/2021","
								09/09/2021"
Professional Engineering Services for Imperial Lakes Blvd Drainage Improvements,"
								Florida","
								08/13/2021","
								09/08/2021"
Muleshoe Office Space,"
								Texas","
								08/13/2021","
								09/08/2021"
Citywide Classification and Compensation Study,"
								California","
								08/13/2021","
								09/08/2021"
"MA-High Roof Van, No HAP, HAP 1, HAP 2","
								Alabama","
								08/13/2021","
								09/08/2021"
RARP Distribution Feeders - Steel Poles,"
								Kansas","
								08/13/2021","
								09/08/2021"
Sodium Hypochlorite,"
								Oklahoma","
								08/13/2021","
								09/08/2021"
DNA Analysis and Forensic Genealogy,"
								Oklahoma","
								08/13/2021","
								09/08/2021"
MA-AERIAL TRUCK BODIES,"
								Alabama","
								08/13/2021","
								09/08/2021"
Consultant Services Edmonds College Triton Learning Commons Lynnwood,"
								Washington","
								08/13/2021","
								09/08/2021"
Upper Makefield Township Pondview Drive Drainage Project,"
								Pennsylvania","
								08/13/2021","
								08/31/2021"
AST RE-TREATMENT OF TWENTY FOUR SECONDARY ROADS IN CASWELL COUNTY,"
								North Carolina","
								08/13/2021","
								09/02/2021"
"XEROGRAPHIC COPY PAPER 8.5"" X 11"" - TRUCKLOAD","
								California","
								08/13/2021","
								09/02/2021"
"STATE LET MAINTENANCE CONTRACT, PECOS CO, SWEEPING AND DEBRIS REMOVAL","
								Texas","
								08/13/2021","
								09/02/2021"
Signs - ” Area Temporarily Closed”,"
								Ohio","
								08/13/2021","
								08/18/2021"
2021 Roadway Improvements,"
								Pennsylvania","
								08/13/2021","
								08/31/2021"
REDISTRICTING SUPPORT SERVICES,"
								California","
								08/13/2021","
								08/26/2021"
Contract 21-1 Sanitary Sewer Interceptor Rehabilitation Project - Cured In Place Pipe Lining Phase II (Washington Street),"
								Pennsylvania","
								08/13/2021","
								08/23/2021"
Sunset Hollow Storm Crossing,"
								Pennsylvania","
								08/13/2021","
								09/02/2021"
Pine Valley Circle & Amelia Drive Storm Sewer Rehabilitation,"
								Pennsylvania","
								08/13/2021","
								09/02/2021"
City of Tulsa Mail Room Services,"
								Oklahoma","
								08/13/2021","
								09/22/2021"
Downingtown Pike & Plaza Drive Pedestrian Improvements,"
								Pennsylvania","
								08/13/2021","
								08/25/2021"
COUPLER TUBE SHIELD,"
								Texas","
								08/13/2021","
								08/18/2021"
Replacement of Gym Bleachers-Ramsay High School,"
								Alabama","
								08/13/2021","
								08/31/2021"
Emergency Responder Radio Coverage Systems (ERRCS),"
								North Carolina","
								08/13/2021","
								09/30/2021"
Robert Cherry Civic Center Renovations,"
								Kentucky","
								08/13/2021","
								09/08/2021"
Calculators,"
								South Dakota","
								08/13/2021","
								08/31/2021"
Install ADA Compliant Parking Lot & Accessible Paths,"
								California","
								08/13/2021","
								09/02/2021"
Provide washers and dryers for campgrounds,"
								Kansas","
								08/13/2021","
								08/26/2021"
DIR Oxygen Concentrator Provider,"
								Utah","
								08/13/2021","
								09/08/2021"
Water cooler rental & water delivery service,"
								North Carolina","
								08/13/2021","
								08/19/2021"
Material Testing Lab,"
								Nevada","
								08/13/2021","
								09/08/2021"
Regional Specialty Roofing Job Order Contract,"
								California","
								08/13/2021","
								09/08/2021"
2021 GM Roads Program (21-01000- 01-GM),"
								Illinois","
								08/13/2021","
								08/24/2021"
Spreading Mulch Services,"
								North Carolina","
								08/13/2021","
								08/24/2021"
Law Test System (LTS),"
								Mississippi","
								08/13/2021","
								09/08/2021"
"RFB-30-22 Latrine Upgrades, Barbourville Readiness Center","
								Kentucky","
								08/13/2021","
								09/02/2021"
Camera System Replacement Project,"
								California","
								08/13/2021","
								09/16/2021"
Furnishing of materials and construction,"
								Illinois","
								08/13/2021","
								08/17/2021"
DEMOLITION OF EXISTING RANGER STATION AND CONSTRUCTION OF NEW RANGER STATION AND VISITOR CENTER,"
								California","
								08/13/2021","
								09/08/2021"
ANNUAL: Window Washing,"
								California","
								08/13/2021","
								09/03/2021"
CITRIX NETSCALER HARDWARE,"
								Kentucky","
								08/13/2021","
								08/23/2021"
"Swift Water, Personal Floatation Devices (PFD)","
								Kentucky","
								08/13/2021","
								08/27/2021"
Storage Bldg Hazard CTC Integenerational Center,"
								Kentucky","
								08/13/2021","
								09/02/2021"
MESSENGER PUBLIC LIBRARY - EXTERIOR FACADE RENOVATIONS,"
								Illinois","
								08/13/2021","
								08/26/2021"
Long Term Care Food Service,"
								Illinois","
								08/13/2021","
								Not Stated"
Combined Desert Tortoise and Ephemeral Stream Credit Purchase,"
								California","
								08/13/2021","
								08/26/2021"
Abandoned Unit Car Stickers,"
								Louisiana","
								08/13/2021","
								08/18/2021"
SLE - ACORN FIXTURES,"
								Massachusetts","
								08/13/2021","
								08/19/2021"
REGIONAL SPECIALTY JOB ORDER CONTRACTS ROOFING BID,"
								California","
								08/13/2021","
								09/08/2021"
"Janitorial Svcs Clark, Scott and Woodford County Rest Areas","
								Kentucky","
								08/13/2021","
								08/27/2021"
Audiology Supplies,"
								Kentucky","
								08/13/2021","
								08/26/2021"
Pasta,"
								California","
								08/13/2021","
								08/26/2021"
Uniform Rental and Laundering Services For: Facilities Management Section,"
								California","
								08/13/2021","
								09/02/2021"
UDOT Advanced Air Mobility Infrastructure Study,"
								Utah","
								08/13/2021","
								09/08/2021"
640 6th Avenue South-090321,"
								Iowa","
								08/13/2021","
								09/03/2021"
Architectural Design Services –  Council Room Renovation & AV Design,"
								Washington","
								08/13/2021","
								10/06/2021"
ETOD (EQUITABLE TRANSIT ORIENTED) STRATEGIC PLAN,"
								Arizona","
								08/13/2021","
								09/02/2021"
Election Equipment,"
								Illinois","
								08/13/2021","
								08/20/2021"
22-26 Passenger Wheelchair - Accessible Bus,"
								California","
								08/13/2021","
								08/23/2021"
IFB Low Carbon Transportation Operations Program (LCTOP),"
								California","
								08/13/2021","
								09/02/2021"
Digital Copiers RFP,"
								California","
								08/13/2021","
								08/23/2021"
Medical Courier Services,"
								California","
								08/13/2021","
								08/27/2021"
Vehicle Signal Backplates and Various Signal Components,"
								Texas","
								08/13/2021","
								08/26/2021"
Phase II Design Engineering Services for the Industrial Pedestrian Connector Improvements Project,"
								Illinois","
								08/13/2021","
								08/30/2021"
WANTED TO LEASE BY THE STATE OF CALIFORNIA - Sacramento,"
								California","
								08/13/2021","
								08/27/2021"
"Administer Hepatitis A, Hepatitis B or the Hepatitis A & B Combination Shot Inoculations in San Diego County","
								California","
								08/13/2021","
								08/26/2021"
"Trash Collection, Hauling and Disposal Services in Mendocino County","
								California","
								08/13/2021","
								08/26/2021"
CATTLE FEVER TICK ERADICATION PROGRAM FENCE DETERRENT PROJECT,"
								Texas","
								08/13/2021","
								09/17/2021"
Playground Renovation - Wexford Park,"
								Illinois","
								08/13/2021","
								08/25/2021"
San Antonio State Hospital Water Softener Maintenance,"
								Texas","
								08/13/2021","
								08/26/2021"
CHP Motorcyclist Safety Program (Media Services),"
								California","
								08/13/2021","
								08/25/2021"
Heritage Bluffs Golf Club - Fire Protection,"
								Illinois","
								08/13/2021","
								08/25/2021"
Electronic Gate Maintenance and Repair,"
								Texas","
								08/13/2021","
								08/26/2021"
Dental Services,"
								California","
								08/13/2021","
								09/21/2021"
Playground Renovation - Aspen Meadows,"
								Illinois","
								08/13/2021","
								08/25/2021"
PARTICK SULLIVAN APARTMENTS RENOVATION,"
								Illinois","
								08/13/2021","
								09/02/2021"
ADA Curb Ramp Installation,"
								California","
								08/13/2021","
								09/02/2021"
Lock Accessories,"
								Texas","
								08/13/2021","
								08/26/2021"
AUTOMOTIVE AND TRUCK SPRING REPAIR,"
								Arizona","
								08/13/2021","
								08/30/2021"
Fairbanks Pioneer Home Boiler Burner Replacement,"
								Alaska","
								08/13/2021","
								09/07/2021"
CITY-WIDE COPIER/ MAINTENANCE SERVICES,"
								Florida","
								08/13/2021","
								09/02/2021"
Storage Building - 12’ x 16 ’x 8' Cottage Style Building,"
								Virginia","
								08/13/2021","
								08/17/2021"
Gradall with Operator Services-Loudoun,"
								Virginia","
								08/13/2021","
								09/07/2021"
Cane Run Bank Stabilization Project,"
								Kentucky","
								08/13/2021","
								09/02/2021"
Fire Department Duty Uniforms,"
								Arizona","
								08/13/2021","
								09/02/2021"
Water Treatment Plant – Construction,"
								Illinois","
								08/13/2021","
								09/30/2021"
,,,
Park Restrooms Facility,"
								Illinois","
								08/13/2021","
								09/02/2021"
Playground Equipment,"
								Florida","
								08/13/2021","
								08/31/2021"
Liberty Road Trunk Project,"
								Kentucky","
								08/13/2021","
								09/02/2021"
ROOF/FAÇADE REPAIRS AND RENOVATIONS OF THE MUSTO CULTURAL CENTER,"
								New Jersey","
								08/13/2021","
								09/02/2021"
PWC - Woods Creek - Circuits 12-1808 & 12-1811 - Distribution & Transmission Line Clearance,"
								Washington","
								08/13/2021","
								09/02/2021"
PROFESSIONAL SERVICES FOR LEAD SERVICE LINE REPLACEMENT PLAN AND MATERIAL INVENTORY,"
								Illinois","
								08/13/2021","
								09/01/2021"
Moving Portable Buildings,"
								Texas","
								08/13/2021","
								08/31/2021"
"Grease Traps, Septic Tanks & Grit Trap Cleaning & Disposal","
								Texas","
								08/13/2021","
								08/31/2021"
Hazardous Waste Disposal Service,"
								Texas","
								08/13/2021","
								08/31/2021"
"Qualified and certified small, minority, and women's businesses for the August 19, 2021 City of Urbana, IL Water Main Improvement project","
								Illinois","
								08/13/2021","
								08/18/2021"
Steam Sterilizer Maintenance Service (Oahu),"
								Hawaii","
								08/13/2021","
								08/25/2021"
Replacing the Concrete Parking Areas for the Police Department,"
								Illinois","
								08/13/2021","
								08/25/2021"
2021 – 2022 SNOW REMOVAL AND POST-STORM SERVICES,"
								New Jersey","
								08/13/2021","
								08/31/2021"
"PY 2020 CDBG ROADWAY AND SEWER REPLACEMENT HUD ACTIVITY NO. 712, 713","
								Illinois","
								08/13/2021","
								08/24/2021"
Award Jackets,"
								Texas","
								08/13/2021","
								08/30/2021"
Lock and Unlock Comfort Stations - North Kona District,"
								Hawaii","
								08/13/2021","
								08/18/2021"
Water Main Relays,"
								Wisconsin","
								08/13/2021","
								08/19/2021"
COVID-19 Case Investigation/Contact Tracing,"
								Utah","
								08/13/2021","
								08/27/2021"
Combination Locks,"
								Texas","
								08/13/2021","
								08/30/2021"
"Tortilla Chips, WG","
								Utah","
								08/13/2021","
								08/30/2021"
Compact Track Loader/Skid-Steer,"
								Illinois","
								08/13/2021","
								08/27/2021"
"Milling and replacing 2.5"" of hot-mix asphalt on N. Diamond St.","
								Illinois","
								08/13/2021","
								08/26/2021"
EASTSIDE WASTEWATER TREATMENT PLANT SOUTH GRIT CHAMBER BUILDING REPLACEMENT,"
								Illinois","
								08/13/2021","
								08/30/2021"
REMOVAL AND REPLACEMENT OF MONOGLASS INSULATION AT 1000 CIVIC CENTER DRIVE - PARKING GARAGE,"
								Illinois","
								08/13/2021","
								09/01/2021"
On Call Litter Control and Graffiti Abatement Laborers,"
								Washington","
								08/13/2021","
								08/26/2021"
Programmatic and Fiscal Monitoring (PFM),"
								Michigan","
								08/13/2021","
								08/18/2021"
PWC - WB DWSRF DWL23475 and DWL23480 Warm Beach Water System Lake Martha Reservoir Demolition Project,"
								Washington","
								08/13/2021","
								08/26/2021"
Take Home Books Sets (Grades 2-4),"
								North Carolina","
								08/13/2021","
								08/23/2021"
"TRIANGLE CAMPS, TRACK-OUT, & MORE DIRECTORY","
								North Carolina","
								08/13/2021","
								08/20/2021"
Water Works Materials FY22,"
								Massachusetts","
								08/13/2021","
								08/26/2021"
Gym Mats,"
								North Carolina","
								08/13/2021","
								08/17/2021"
DFCM CONSTRUCTION - PRE QUALIFIED ROOFING - MTECH PROVO ROOF REPLACEMENT - 22019260,"
								Utah","
								08/13/2021","
								09/08/2021"
YMCKT #535000-003 COLOR RIBBON KIT (OEM) FOR DATACARD CD800 PRINTER,"
								Hawaii","
								08/13/2021","
								08/16/2021"
Resurfacing South Street from Southwest Cross Street to Southeast Cross Street,"
								Illinois","
								08/13/2021","
								08/26/2021"
Day Porter Services for Cambridge Police Department,"
								Massachusetts","
								08/13/2021","
								08/26/2021"
2021 Pavement Markings on Various Wood County Roads.,"
								Ohio","
								08/13/2021","
								08/27/2021"
Cleaning services for Portable Restrooms,"
								Massachusetts","
								08/13/2021","
								08/26/2021"
Book Leasing for Utah State Library,"
								Utah","
								08/13/2021","
								08/25/2021"
DFCM Construction-DH&A Rio Grande Depot Rehabilitation-20229080-VBS CM/GC,"
								Utah","
								08/13/2021","
								09/23/2021"
"1 - Cadan Technology Contract - $150,00 Increase in Funds","
								Utah","
								08/13/2021","
								08/19/2021"
DFCM Construction-Pre Qualified General-UNG CW Combat in Cities Ph. III-21386480,"
								Utah","
								08/13/2021","
								09/09/2021"
2021 - STREET REHABILITATION - TIF3A,"
								Illinois","
								08/13/2021","
								08/20/2021"
Replace NOC AC & Chiller,"
								Virginia","
								08/13/2021","
								09/08/2021"
"Bridge Materials for Cloverdale Road Bridge No. 6-73B over Ditch 2267, Bloom Township, Wood County, Ohio.","
								Ohio","
								08/13/2021","
								08/26/2021"
2021 ROADWAYS RESURFACING CONTRACT B MFT (SECTION 21-00541-00RS),"
								Illinois","
								08/13/2021","
								08/30/2021"
DFCM CONSTRUCTION PRE QUALIFIED ELECTRICAL-DHS OREM DCFS/DHS BLDG FIRE PANEL REPLACEMENT - 21272400,"
								Utah","
								08/13/2021","
								08/18/2021"
2021 SANITARY SEWER POINT REPAIR PROJECT – VARIOUS LOCATIONS,"
								Illinois","
								08/13/2021","
								08/27/2021"
2020 SPAM Resurfacing Project,"
								Texas","
								08/13/2021","
								09/08/2021"
ON-CALL CONSTRUCTION MANAGEMENT AND INSPECTION SERVICES,"
								Arizona","
								08/13/2021","
								09/08/2021"
"161 KV, 2000 Amp SF6 Insulated Circuit Breakers WE Substation-WE991,992,993","
								Tennessee","
								08/13/2021","
								09/01/2021"
NOTICE AND CALL FOR BID 2021 HUTTON AND LINWOOD TANKS DEMOLITION PROJECT,"
								Wyoming","
								08/13/2021","
								09/08/2021"
Solid Waste Roll Off Containers and Equipment,"
								Tennessee","
								08/13/2021","
								09/08/2021"
MT National Alliance of Recovery Residences Affiliate,"
								Montana","
								08/13/2021","
								09/08/2021"
LEASE OF FURNISHED SPACE FOR CIVIL ARBITRATIONS,"
								Pennsylvania","
								08/13/2021","
								09/08/2021"
Galveston Strand Study Outreach,"
								Texas","
								08/13/2021","
								09/08/2021"
Resident / Customer Satisfaction Survey,"
								North Carolina","
								08/13/2021","
								08/31/2021"
Support for Executive Recruiting Services,"
								North Carolina","
								08/13/2021","
								09/07/2021"
MARINA PARKING LOT AND ROADWAY RESURFACING,"
								Illinois","
								08/13/2021","
								09/02/2021"
BLACK ROAD LIFT STATION BRIDGE CRANE REPLACEMENT,"
								Illinois","
								08/13/2021","
								08/30/2021"
Flushing Valve,"
								Tennessee","
								08/13/2021","
								08/17/2021"
Statewide On-Call Construction Testing & Inspection Services (3 Contracts),"
								New Hampshire","
								08/13/2021","
								08/27/2021"
Corrugated Aluminized Pipe,"
								North Carolina","
								08/13/2021","
								08/24/2021"
2021 SIDEWALK/ CURB RE- PLACEMENT PROJECT,"
								Illinois","
								08/13/2021","
								08/30/2021"
State Disaster Recovery Act Single-Family Home Demolition Project No. 55,"
								North Carolina","
								08/13/2021","
								08/25/2021"
Food service vendors,"
								Illinois","
								08/13/2021","
								08/24/2021"
COCOA,"
								North Carolina","
								08/13/2021","
								08/23/2021"
MARION CITY HALL PROJECT,"
								Illinois","
								08/13/2021","
								09/02/2021"
Extended Bed F250 Pick Up with Tommy Lift,"
								North Carolina","
								08/13/2021","
								09/02/2021"
Advanced Technology Center Bid Release 1c,"
								Illinois","
								08/13/2021","
								09/01/2021"
USM Firewall,"
								Mississippi","
								08/13/2021","
								08/31/2021"
Gaston County Staffing Agency to handle WIOA program,"
								North Carolina","
								08/13/2021","
								09/02/2021"
Charter Bus Services,"
								North Carolina","
								08/13/2021","
								08/27/2021"
