name,Location,Publishing Date,Closing Date
Denver Juvenile Intensive Cognitive Behavioral Therapeutic Program,"
								Colorado","
								08/12/2021","
								09/13/2021"
Bus and Bus Stop Advertising,"
								Colorado","
								08/12/2021","
								09/13/2021"
RFQ-22-02 AE Agreement Replace Chiller Michener & Candelaria,"
								Colorado","
								08/12/2021","
								09/21/2021"
Professional Land Surveying Services: 45 North Way SBL: 92.16-1-13 &  92.16-1-22,"
								New York","
								08/12/2021","
								08/23/2021"
Professional Land Surveying Services: 220 & 230 Joan Corwin Way,"
								New York","
								08/12/2021","
								08/23/2021"
"Fire Alarm, Fire Extinguishers, Sprinkler & Suppression Systems Inspection, Etc","
								Rhode Island","
								08/12/2021","
								09/03/2021"
Romac Products,"
								North Carolina","
								08/12/2021","
								08/18/2021"
,,,
Audit Services,"
								Colorado","
								08/12/2021","
								09/10/2021"
Sandblasting and Painting,"
								Colorado","
								08/12/2021","
								09/14/2021"
Elevator Modernization,"
								Michigan","
								08/12/2021","
								09/02/2021"
ICE CONTROL AGGREGATES IN BULK,"
								New York","
								08/12/2021","
								08/31/2021"
Police Equipment - OC Gases,"
								Michigan","
								08/12/2021","
								08/24/2021"
Equipment Training Simulators,"
								Colorado","
								08/12/2021","
								09/09/2021"
Culturally Responsive Teaching,"
								Colorado","
								08/12/2021","
								08/19/2021"
School Girls Glen Culvert Replacement - Nichols Drive,"
								Michigan","
								08/12/2021","
								09/02/2021"
HYDROSEEDER SUPPLIES,"
								Michigan","
								08/12/2021","
								08/19/2021"
"Quincy Reservoir Improvements, Package C: Aeration System","
								Colorado","
								08/12/2021","
								09/16/2021"
"INCUBATOR, 29 CU FT","
								New York","
								08/12/2021","
								08/31/2021"
Backflow Inspections,"
								Michigan","
								08/12/2021","
								09/01/2021"
Crisis Intervention Services - Children's Crisis Stabilization Unit,"
								Michigan","
								08/12/2021","
								09/14/2021"
Item #98 - On-Call Construction Services,"
								Michigan","
								08/12/2021","
								08/26/2021"
ROUGE RIVER AREA OF CONCERN (AOC) HABITAT RESTORATION: LOWER ROUGE LOGJAM REMO,"
								Michigan","
								08/12/2021","
								09/09/2021"
Item #9 - Hot Mix Asphalt Materials,"
								Michigan","
								08/12/2021","
								08/26/2021"
Item #6 - Limestone,"
								Michigan","
								08/12/2021","
								08/26/2021"
Ground Ladder Inspection and Testing Services for Fire Department,"
								New York","
								08/12/2021","
								08/27/2021"
PALSUN Flat Polycarbonate Coil Stock (CS) Cut Stock,"
								Colorado","
								08/12/2021","
								08/17/2021"
Briargate SIMD Hardscape Conversion Project,"
								Colorado","
								08/12/2021","
								08/26/2021"
Civil Engineering Design Services for Eastonville Road Corridor,"
								Colorado","
								08/12/2021","
								09/10/2021"
Provide interior and exterior vehicle cleaning services as needed,"
								New York","
								08/12/2021","
								08/20/2021"
Colorado Springs Airport Retail Concessions Services,"
								Colorado","
								08/12/2021","
								01/14/2022"
COMMAND BOXES FOR EMERGENCY VEHICLES,"
								New York","
								08/12/2021","
								08/26/2021"
Towing Service Contract,"
								Colorado","
								08/12/2021","
								08/26/2021"
Utilities Supplies Supplementary,"
								Rhode Island","
								08/12/2021","
								08/25/2021"
HQ Building Shelving and Storage (Re-Bid),"
								Michigan","
								08/12/2021","
								09/14/2021"
Polk County Presort Mail Services,"
								Iowa","
								08/12/2021","
								08/31/2021"
Boardroom A/V Technology,"
								Florida","
								08/12/2021","
								09/10/2021"
Beneficial Use Truck Lease Agreement,"
								Colorado","
								08/12/2021","
								09/16/2021"
P&R Ice Resurfacer,"
								New York","
								08/12/2021","
								08/25/2021"
V-BELTS,"
								New York","
								08/12/2021","
								08/26/2021"
RFQ -2022-1190 FUEL DISPENSING EQUIPMENT,"
								New York","
								08/12/2021","
								08/18/2021"
UCAT BUS TIRES,"
								New York","
								08/12/2021","
								09/02/2021"
"Furnish and Deliver Boise 20 lb., 30% Recycled Paper, or equal, as needed","
								New York","
								08/12/2021","
								08/27/2021"
"6"" Chase Drain","
								Colorado","
								08/12/2021","
								08/25/2021"
City of Gunnison 2021 Tree Grinding Project,"
								Colorado","
								08/12/2021","
								09/01/2021"
SR11 Port of Entry ITS Tolling /Border Mgmnt Owners Rep Consulting Svs.,"
								California","
								08/12/2021","
								09/17/2021"
THIRD-PARTY ADMINISTRATOR SERVICES/SECTION 125 FSAS,"
								New York","
								08/12/2021","
								09/09/2021"
CAMERON COUNTY TXCDBG CENTRAL ESTATES SUBDIVISION WATER IMPROVEMENTS-MATERIAL ON,"
								Texas","
								08/12/2021","
								08/24/2021"
Personal Laundry Services,"
								New York","
								08/12/2021","
								08/26/2021"
Office Supplies,"
								New York","
								08/12/2021","
								08/24/2021"
"Operation, Maintenance & Management of Water & Wastewater Treatment Facilities","
								Colorado","
								08/12/2021","
								09/21/2021"
Multiprocess Welder,"
								New York","
								08/12/2021","
								08/16/2021"
"Fire Station #3, Drain Line Repairs","
								Colorado","
								08/12/2021","
								09/02/2021"
Collision Repair,"
								New York","
								08/12/2021","
								09/10/2021"
Water Meter Reading,"
								Georgia","
								08/12/2021","
								09/14/2021"
Input-Based Foam Testing System,"
								New York","
								08/12/2021","
								09/15/2021"
Security Fencing Bid - District Wide,"
								Florida","
								08/12/2021","
								08/31/2021"
CLB026-2021 FIRE HYDRANTS,"
								New York","
								08/12/2021","
								09/14/2021"
Fujitsu HVAC Parts,"
								New York","
								08/12/2021","
								08/24/2021"
Preventive Services & System Maintenance of Compressed Natural Gas Fueling Site,"
								New York","
								08/12/2021","
								08/26/2021"
RFB-6674 Parts Repair Services FORD Vehicles,"
								New York","
								08/12/2021","
								08/20/2021"
SHUTTLE SERVICE AT THE TRENTON-MERCER AIRPORT,"
								New Jersey","
								08/12/2021","
								09/09/2021"
Church Street Dock Expansion,"
								Rhode Island","
								08/12/2021","
								09/08/2021"
OFFICE SUPPLIES FOR THE COUNTY OF MERCER AND COOPERATIVE CONTRACT PURCHASING,"
								New Jersey","
								08/12/2021","
								09/21/2021"
Roof Top HVAC Replacement (Summit and Administration Buildings),"
								Michigan","
								08/12/2021","
								08/26/2021"
Oxivir Tb Disinfectant Cleaner,"
								New York","
								08/12/2021","
								08/16/2021"
Removal and Replacement of Condenser Units at Human Service Center,"
								Michigan","
								08/12/2021","
								08/26/2021"
PUBLIC RELATIONS SERVICES,"
								New York","
								08/12/2021","
								09/10/2021"
Fire Hydrants and Extensions,"
								Florida","
								08/12/2021","
								09/14/2021"
Truck Tire Retread Services and Section Repairs,"
								Florida","
								08/12/2021","
								09/14/2021"
Furnish Forklift and Power Pallet Jack Repairs & Maintenance as Specified,"
								New York","
								08/12/2021","
								08/25/2021"
Provide Paint as Specified,"
								New York","
								08/12/2021","
								08/25/2021"
Milton Parks & Rec Cox Road Artificial Field Turfing,"
								Georgia","
								08/12/2021","
								09/14/2021"
Furnish BSK Emergency Generators Controls Retrofit as Specified,"
								New York","
								08/12/2021","
								09/01/2021"
Science Supplies,"
								New York","
								08/12/2021","
								08/26/2021"
Air Filters for Powerhouse,"
								Michigan","
								08/12/2021","
								08/19/2021"
Professional Construction Services for Chippewa River Erosion & Canoe Launch,"
								Michigan","
								08/12/2021","
								09/01/2021"
PLUMBING SUPPLIES,"
								New York","
								08/12/2021","
								08/19/2021"
Graphing Calculators,"
								New York","
								08/12/2021","
								08/26/2021"
Replacement of Signage at the Dearborn Ice Skating Center,"
								Michigan","
								08/12/2021","
								08/25/2021"
Disposable Mask Convenience Contract,"
								North Carolina","
								08/12/2021","
								08/25/2021"
"Alarm Systems - Inspection, Testing, Maintenance and Repair","
								New York","
								08/12/2021","
								09/14/2021"
CDBG ADA SIDEWALK AND RAMP INSTALLATION PROJECT,"
								Michigan","
								08/12/2021","
								08/26/2021"
HIGHWAY STEEL SIGN POSTS,"
								New York","
								08/12/2021","
								08/23/2021"
ANNUAL REQUIREMENTS CONTRACT - BOOTS TACTICAL,"
								New York","
								08/12/2021","
								08/24/2021"
MOTORS,"
								New York","
								08/12/2021","
								09/01/2021"
ARC - WASTEWATER COLLECTION SYSTEM EQUIPMENT - PARTS & REPAIRS,"
								New York","
								08/12/2021","
								09/01/2021"
"ANNUAL REQUIREMENTS CONTRACT - FLARES, RED EMERGENCY","
								New York","
								08/12/2021","
								08/25/2021"
Replacement Chain and Sprockets for N&S Plants,"
								New York","
								08/12/2021","
								08/26/2021"
Public Health Nurse,"
								New York","
								08/12/2021","
								08/27/2021"
Community Ed Program Guide Printing,"
								Michigan","
								08/12/2021","
								09/02/2021"
SCHS Auditorium Lighting,"
								Michigan","
								08/12/2021","
								09/02/2021"
Water & Wastewater Collection Replacement and Rehabilitation Program,"
								Colorado","
								08/11/2021","
								09/13/2021"
Physical Access Control System Phase II,"
								Colorado","
								08/11/2021","
								09/13/2021"
2021 General Engineering and related Professional Services MSAs,"
								Colorado","
								08/11/2021","
								08/31/2021"
BD2201 District Sustainability Management Plan,"
								Colorado","
								08/11/2021","
								09/08/2021"
2021 Sky Mountain Park Restoration Planting & Irrigation Project,"
								Colorado","
								08/11/2021","
								09/13/2021"
Haircutting Services,"
								Florida","
								08/11/2021","
								08/27/2021"
Select Fulton Promotional Materials and Apparel,"
								Georgia","
								08/11/2021","
								08/23/2021"
Air Quality Particulate Matter Dispersion Modeling,"
								Colorado","
								08/11/2021","
								09/14/2021"
SOLID WASTE COMMERCIAL GRADE CONTAINERS – VARIED SIZES,"
								Texas","
								08/11/2021","
								08/26/2021"
Thirty-Six (36) Month Contract for Motor Fuels,"
								Florida","
								08/11/2021","
								09/09/2021"
"Digital Scanning Services for Permits, Plans, & Projects","
								Michigan","
								08/11/2021","
								09/14/2021"
RFP 21-0016 Managed Services & Antivirus,"
								Texas","
								08/11/2021","
								09/01/2021"
IFB 21-0017 Barbarossa Overlay Project,"
								Texas","
								08/11/2021","
								09/01/2021"
Indigent Burial,"
								Georgia","
								08/11/2021","
								09/14/2021"
PROFESSIONAL ENGINEERING SERVICES FOR GOAT HILL EAST,"
								Colorado","
								08/11/2021","
								09/02/2021"
JOURNEYMAN MASONRY SERVICES,"
								New York","
								08/11/2021","
								09/01/2021"
,,,
REPLACEMENT PARTS FOR AUTOS AND LIGHT TRUCKS,"
								New York","
								08/11/2021","
								09/01/2021"
PAINTS AND VARIOUS PAINTING SUPPLIES,"
								New York","
								08/11/2021","
								09/01/2021"
Voting System and Software,"
								Illinois","
								08/11/2021","
								09/13/2021"
Renovations to: 30701 Mackenzie Dr,"
								Michigan","
								08/11/2021","
								08/24/2021"
"Berkshire Villas Phase 2, 2021 Water Main Replacement","
								Michigan","
								08/11/2021","
								09/02/2021"
Harper Avenue - 9 Mile Road to 175 Feet North of Little Mack Ave,"
								Michigan","
								08/11/2021","
								08/30/2021"
Multipurpose Room Flooring - Northwoods Elementary,"
								North Carolina","
								08/11/2021","
								08/25/2021"
Maroon Creek Rd Retaining Wall Project,"
								Colorado","
								08/11/2021","
								09/01/2021"
Renovations to: 32571 Mackenzie Dr,"
								Michigan","
								08/11/2021","
								08/24/2021"
Renovations to: 7524 Cavell,"
								Michigan","
								08/11/2021","
								08/24/2021"
Renovations to: 4954 S. Inkster,"
								Michigan","
								08/11/2021","
								08/24/2021"
Renovations to: 31701 Lonnie Blvd,"
								Michigan","
								08/11/2021","
								08/24/2021"
Chemical Cooling Tower Corrosion Inhibitor & Microbiological Control,"
								Rhode Island","
								08/11/2021","
								08/24/2021"
Cooperative Electricity Supply Bid,"
								New York","
								08/11/2021","
								09/02/2021"
DOG BED,"
								New York","
								08/11/2021","
								08/17/2021"
NextLight HVAC System,"
								Colorado","
								08/11/2021","
								08/19/2021"
Parts Washer Rental & Service,"
								Rhode Island","
								08/11/2021","
								08/24/2021"
CM/GC Services - E-470 Widening Project from I-70 to 104th Avenue,"
								Colorado","
								08/11/2021","
								09/08/2021"
"Municipal Tree Tree Trimming on City, State, County Right of Ways and City Parks","
								Michigan","
								08/11/2021","
								09/01/2021"
Concord Road Traffic Calming Islands and Curb Adjustments,"
								Georgia","
								08/11/2021","
								09/10/2021"
Request for Statement of Qualifications and experience for Airport Engineering,"
								Colorado","
								08/11/2021","
								08/31/2021"
Fitzsimons Barracks Abatement and Demolition,"
								Colorado","
								08/11/2021","
								08/31/2021"
Westerly Senior Center Woodshop Sprinklers,"
								Rhode Island","
								08/11/2021","
								08/24/2021"
Beverage Bid,"
								New York","
								08/11/2021","
								08/19/2021"
"Demolition of Garage Only at 11123 Hudson, Warren MI 48089","
								Michigan","
								08/11/2021","
								08/27/2021"
30 Inch Interceptor Dosing Station,"
								Colorado","
								08/11/2021","
								09/02/2021"
Night Vision Equipment,"
								Michigan","
								08/11/2021","
								08/25/2021"
2nd Lagoon Cleanout & Dewatering of Water Treatment Plant Solids for 2021,"
								New York","
								08/11/2021","
								08/18/2021"
WELD COUNTY TRAINING SITE/SHOOTING RANGE,"
								Colorado","
								08/11/2021","
								09/15/2021"
Furnish Oneida Shores Park Boat Launch Project as Specified,"
								New York","
								08/11/2021","
								08/31/2021"
Provide Fatpipe Upgrade as Specified,"
								New York","
								08/11/2021","
								08/24/2021"
Hydromatic Submersible Pump,"
								North Carolina","
								08/11/2021","
								08/17/2021"
CLB027-2021 TRASH BAGS,"
								New York","
								08/11/2021","
								08/26/2021"
RFB-6673 Purchase of various DeWalt or equal battery tools,"
								New York","
								08/11/2021","
								08/27/2021"
On-Call Painting Services,"
								Michigan","
								08/11/2021","
								09/01/2021"
ADA-Compliant Porous Pavement Walking Track at JH Ketcham Park (2nd Round Bid),"
								New York","
								08/11/2021","
								09/01/2021"
"RFP for Operation of Carnival Rides, Concessions and Amusements","
								New York","
								08/11/2021","
								08/26/2021"
Chromebook Component Repair,"
								Colorado","
								08/10/2021","
								08/20/2021"
Professional Auditing Services,"
								Colorado","
								08/10/2021","
								08/31/2021"
Generator Maintenance and Repair Services,"
								New York","
								08/10/2021","
								08/19/2021"
Loveland Colorado Whitewater Adventure Park and Resort RFEI,"
								Colorado","
								08/10/2021","
								09/07/2021"
Water Rescue Vehicle Build,"
								Colorado","
								08/10/2021","
								09/09/2021"
RFP - Engineering Consulting Services for Mel Harmon Dr. Bridge Rehabilitation,"
								Colorado","
								08/10/2021","
								08/31/2021"
Biosolids Removal & Disposal for the City of Evans Wastewater Treatment Facility,"
								Colorado","
								08/10/2021","
								08/27/2021"
Broadway Bridge over Little Dry Creek (BRLD) Bridge Repair,"
								Colorado","
								08/10/2021","
								08/31/2021"
Inmate Medical Services,"
								Illinois","
								08/10/2021","
								09/09/2021"
File #4819 - Cleaning Services at Police Department and 27th District Court,"
								Michigan","
								08/10/2021","
								08/30/2021"
File #4817 - Cleaning Services at City Hall,"
								Michigan","
								08/10/2021","
								08/30/2021"
Insurance Brokerage Services,"
								Colorado","
								08/10/2021","
								09/01/2021"
MOBILE STAGE TRAILER,"
								New York","
								08/10/2021","
								08/25/2021"
Maintenance and Repair of Bus Wash for DCPT,"
								New York","
								08/10/2021","
								08/31/2021"
Online Auction Services for the Sale of Surplus Property,"
								South Carolina","
								08/10/2021","
								09/28/2021"
RESIDENTIAL CROSS CONNECTION CONTROL PROGRAM SERVICES,"
								Michigan","
								08/10/2021","
								08/27/2021"
"Elevator upgrades at City Hall Annex, 87 Nepperhan Avenue","
								New York","
								08/10/2021","
								09/10/2021"
HIGHWAY TRACTORS,"
								New York","
								08/10/2021","
								08/24/2021"
PUMP EQUIPMENT,"
								New York","
								08/10/2021","
								08/25/2021"
Purchase of Macomb Township Owned Vacant Property at 22 Mile Road,"
								Michigan","
								08/10/2021","
								09/08/2021"
Mathematics Professional Development Series: Eureka Math K-5 & Teacher Coaching,"
								Rhode Island","
								08/10/2021","
								09/08/2021"
Purchase of Prisoner Uniforms and Linens,"
								New York","
								08/10/2021","
								09/08/2021"
Grant Services Consultant for Madison County,"
								New York","
								08/10/2021","
								08/24/2021"
Cargo Van,"
								New York","
								08/10/2021","
								08/24/2021"
Flying Horse Detention Pond #1 Retrofit CM & Geotechnical Engineering Svcs,"
								Colorado","
								08/10/2021","
								09/08/2021"
"Furnish, Deliver & Install (3) Double gas convection ovens & (1) Counter top","
								New York","
								08/10/2021","
								08/20/2021"
"Fire Suppression, Plumbing, Mechanical & Electrical Repairs - PC Election Office","
								Iowa","
								08/10/2021","
								09/09/2021"
REFLECTIVITY WARNING SIGNS PROJECT NO. 3,"
								Michigan","
								08/10/2021","
								08/24/2021"
Universal & Hazardous Waste Removal & Disposal,"
								New York","
								08/10/2021","
								08/20/2021"
2021 Drainage Structure Proposal DS-1,"
								Michigan","
								08/10/2021","
								08/30/2021"
Kubota Utility Terrain Vehicle,"
								Michigan","
								08/10/2021","
								08/24/2021"
Cement Bags for DWSD,"
								Michigan","
								08/10/2021","
								08/25/2021"
Provide Fresh Fruit & Vegetables as Specified,"
								New York","
								08/10/2021","
								08/26/2021"
Furnish Silane Penetrating Bridge Deck Sealing as Specified,"
								New York","
								08/10/2021","
								08/25/2021"
"JANITORIAL SUPPLIES, ANNUAL ESTIMATED QUANTITIES","
								Michigan","
								08/10/2021","
								08/17/2021"
City Council Audio Equipment Upgrade,"
								Michigan","
								08/10/2021","
								08/25/2021"
RFQ 21-423: Miscellaneous Wastewater and Planning Consulting Services,"
								Idaho","
								08/10/2021","
								09/01/2021"
AC MOTOR,"
								New York","
								08/10/2021","
								08/17/2021"
VIZCAYA VILLAGE MASTER PLAN IMPLEMENTATION PHASE 1A,"
								Florida","
								08/10/2021","
								09/23/2021"
Replacement of Furnace and Water Heater at 242 Hill S,"
								Michigan","
								08/10/2021","
								08/24/2021"
Strip and Replace Roof and Gutters With Minor Foundation Tuckpointing at 242 Hil,"
								Michigan","
								08/10/2021","
								08/24/2021"
Electrical Upgrades at 242 Hill Street,"
								Michigan","
								08/10/2021","
								08/24/2021"
Traffic Engineering Communications Upgrade Package 3,"
								Colorado","
								08/10/2021","
								08/27/2021"
SPECTROPHOTOMETER SOFTWARE & INSTALLATION 082521,"
								New York","
								08/10/2021","
								08/25/2021"
South Douglas Channel PDM Project,"
								Colorado","
								08/10/2021","
								09/07/2021"
2022 Calendar/2021 Annual Report,"
								Michigan","
								08/10/2021","
								08/25/2021"
RFQ 1958 - 300-302 E Ashman Windows,"
								Michigan","
								08/10/2021","
								08/23/2021"
RFQ 1957 - 300-302 E Ashman Exterior Doors,"
								Michigan","
								08/10/2021","
								08/23/2021"
RFB- City Hall HVAC Group 3 Replacement,"
								North Carolina","
								08/10/2021","
								09/10/2021"
"NEMA PHASE CABINETS, ANNUAL ESTIMATED QUANTITIES","
								Michigan","
								08/10/2021","
								08/24/2021"
Grand Traverse Jail Inmate Mental Health Services,"
								Michigan","
								08/10/2021","
								09/24/2021"
CLB023-2021 Various T-Shirts & Athletic Apparel with Imprints (re-bid),"
								New York","
								08/10/2021","
								09/14/2021"
Sewer Foundry Parts and Pipe,"
								New York","
								08/10/2021","
								09/01/2021"
2021 Annual Striping Program,"
								Colorado","
								08/10/2021","
								08/23/2021"
MICROSOFT OFFICE 365 LICENSES,"
								Michigan","
								08/10/2021","
								08/24/2021"
"Sidewalk Connectivity Improvements, Package #1","
								Colorado","
								08/10/2021","
								09/02/2021"
